latitude	longitude	Continent
-38.416097	-63.616672	America
-25.274398	133.775136	Oceania
47.516231	14.550072	Europe
23.684994	90.356331	Asia
53.709807	27.953389	Europe
50.503887	4.469936	Europe
43.915886	17.679076	Europe
-14.235004	-51.92528	America
42.733883	25.48583	Europe
56.130366	-106.346771	America
-35.675147	-71.542969	America
35.86166	104.195397	Asia
4.570868	-74.297333	America
45.1		15.2		Europe
35.126413	33.42985	Europe
49.817492	15.472962	Europe
56.26392	9.501785	Europe
-1.831239	-78.183406	America
26.820553	30.802498	Africa
58.595272	25.013607	Europe
61.92411	25.74815	Europe
46.227638	2.213749	Europe
42.315407	43.356892	Asia
51.165691	10.451526	Europe
39.074208	21.824312	Europe
22.396428	114.109497	Asia
47.162494	19.503304	Europe
64.963051	-19.020835	Europe
20.593684	78.962880	Asia
-0.789275	113.921327	Asia
32.427908	53.688046	Asia
53.412910	-8.243890	Europe
31.046051	34.851612	Asia
41.871940	12.567380	Europe
36.204824	138.252924	Asia
30.585164	36.238414	Asia
48.019573	66.923684	Asia
-0.023559	37.906193	Africa
29.311660	47.481766	Asia
56.879635	24.603189	Europe	
33.854721	35.862285	Asia
55.169438	23.881275	Europe
4.210484	101.975766	Asia
23.634501	-102.552784	America
31.791702	-7.092620	Africa
52.132633 	5.291266	Europe
-40.900557	174.885971	Oceania
9.081999    	8.675277	Africa
41.608635   	21.745275	Europe
60.472024    	8.468946	Europe
21.512583   	55.923255	Asia
30.375321   	69.345116	Asia
8.537981	-80.782127	America
-9.189967	-75.015152	America
12.879721	121.774017	Asia
51.919438	19.145136	Europe
39.399872	-8.224454	Europe
25.354826	51.183884	Asia
45.943161	24.96676	Europe
61.52401	105.318756	Europe
23.885942	45.079162	Asia
44.016521	21.005859	Europe
1.352083	103.819836	Asia
48.669026	19.699024	Europe
46.151241	14.995463	Europe
-30.559482	22.937506	Africa
35.907757	127.766922	Asia
40.463667	-3.74922	Europe
7.873054	80.771797	Asia
60.128161	18.643501	Europe
46.818188	8.227512	Europe
23.69781	120.960515	Asia
15.870032	100.992541	Asia
38.963745	35.243322	Europe
48.379433	31.16558	Europe
23.424076	53.847818	Asia
55.378051	-3.435973	Europe
37.09024	-95.712891	America
-32.522779	-55.765835	America
14.058324	108.277199	Asia
	 		
			
			
